segment angle (rad),along block,time (s),central distance (cm/s),left wheel (cm/s),right wheel (cm/s)
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.5707963267948966,0.0,2.1646341463414633,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.5707963267948966,0.0,2.1646341463414633,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.5707963267948966,0.0,2.1646341463414633,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
-1.5707963267948966,0.0,2.1646341463414633,0.0,2.57610597594363,-2.57610597594363
0.0,1.0,3.881827880290131,10.0,2.57610597594363,2.57610597594363
1.5707963267948966,0.0,2.1646341463414633,0.0,-2.57610597594363,2.57610597594363
